title,mc_score,release,mc_url,steam_url
Portal 2,95,2011-04-11,http://www.metacritic.com/game/pc/portal-2,
Spelunky,92,2013-08-08,http://www.metacritic.com/game/pc/spelunky,http://www.metacritic.com/game/pc/spelunky
Street Fighter IV,91,2009-07-07,http://www.metacritic.com/game/pc/street-fighter-iv,http://store.steampowered.com/app/21660/
Left 4 Dead 2,89,2009-11-16,http://www.metacritic.com/game/pc/left-4-dead-2,http://store.steampowered.com/app/550/
Left 4 Dead,89,2008-11-17,http://www.metacritic.com/game/pc/left-4-dead,http://store.steampowered.com/app/500/
Guacamelee! Super Turbo Championship Edition,88,2014-08-21,http://www.metacritic.com/game/pc/guacamelee!-gold-edition,http://store.steampowered.com/app/275390
TowerFall Ascension,87,2014-03-11,http://www.metacritic.com/game/pc/towerfall-ascension,http://store.steampowered.com/app/251470
Bionic Commando: Rearmed,86,2008-08-13,http://www.metacritic.com/game/pc/bionic-commando-rearmed,http://store.steampowered.com/app/21680/
Guilty Gear X2 : #Reload : The Midnight Carnival,86,2004-09-14,http://www.metacritic.com/game/xbox/guilty-gear-x2-reload,
Rayman Origins,86,2012-03-29,http://www.metacritic.com/game/pc/rayman-origins,http://store.steampowered.com/app/207490
Audiosurf,85,2008-02-15,http://www.metacritic.com/game/pc/audiosurf,http://store.steampowered.com/app/12900/
Pinball FX2,85,2013-05-10,http://www.metacritic.com/game/pc/pinball-fx-2,http://store.steampowered.com/app/226980/?snr=1_7_15__13
Trials Evolution: Gold Edition,85,2013-03-21,http://www.metacritic.com/game/pc/trials-evolution-gold-edition,http://store.steampowered.com/app/220160/
BattleBlock Theater,85,2014-05-15,http://www.metacritic.com/game/pc/battleblock-theater,http://store.steampowered.com/app/238460
Shatter,84,2010-05-15,http://www.metacritic.com/game/pc/shatter,http://store.steampowered.com/app/20820/?snr=1_5_9__13
TOCA Race Driver 3,84,2006-02-24,http://www.metacritic.com/game/pc/toca-race-driver-3,
Super Street Fighter IV Arcade Edition,84,2011-07-05,http://www.metacritic.com/game/pc/super-street-fighter-iv-arcade-edition,http://store.steampowered.com/app/45760
Trine 2,84,2011-12-07,http://www.metacritic.com/game/pc/trine-2,http://store.steampowered.com/app/35720
Unreal Tournament 3,83,2007-11-19,http://www.metacritic.com/game/pc/unreal-tournament-iii,http://store.steampowered.com/app/13210/
ibb & obb,83,2014-05-26,http://www.metacritic.com/game/pc/ibb-obb,http://store.steampowered.com/app/95400
Lara Croft and the Guardian of Light,82,2010-09-28,http://www.metacritic.com/game/pc/lara-croft-and-the-guardian-of-light,http://store.steampowered.com/app/35130/
Lethal League,82,2014-08-27,http://www.metacritic.com/game/pc/lethal-league,http://store.steampowered.com/app/261180
Marvel: Ultimate Alliance,82,2006-10-24,http://www.metacritic.com/game/pc/marvel-ultimate-alliance,
Mortal Kombat Komplete Edition,82,2013-08-20,http://www.metacritic.com/game/pc/mortal-kombat-komplete-edition,http://store.steampowered.com/app/244730
Joe Danger 2: The Movie,82,2014-06-24,http://www.metacritic.com/game/pc/joe-danger-2-the-movie,http://store.steampowered.com/app/242110
Defense Grid 2,82,2014-09-23,http://www.metacritic.com/game/pc/dg2-defense-grid-2,http://store.steampowered.com/app/221540
Blur,81,2010-05-01,http://www.metacritic.com/game/pc/blur,http://store.steampowered.com/app/42640/
Overlord,81,2007-06-26,http://www.metacritic.com/game/pc/overlord,http://store.steampowered.com/app/11450/
Jamestown,81,2011-06-08,http://www.metacritic.com/game/pc/jamestown-legend-of-the-lost-colony,http://store.steampowered.com/app/94200
LEGO Batman 2,81,2013-06-22,http://www.metacritic.com/game/pc/lego-batman-2-dc-super-heroes,http://store.steampowered.com/app/213330
Nidhogg,81,2014-01-13,http://www.metacritic.com/game/pc/nidhogg,http://store.steampowered.com/app/94400
Trine,80,2009-07-02,http://www.metacritic.com/game/pc/trine,http://store.steampowered.com/app/35700/
LEGO Batman,80,2008-09-29,http://www.metacritic.com/game/pc/lego-batman,http://store.steampowered.com/app/21000/
X-Men Legends II: Rise of Apocalypse,80,2005-09-20,http://www.metacritic.com/game/pc/x-men-legends-ii-rise-of-apocalypse,
Gish,80,2004-03-04,http://www.metacritic.com/game/pc/gish,http://store.steampowered.com/app/9500/
LEGO Harry Potter: Years 5-7,80,2012-01-05,http://www.metacritic.com/game/pc/lego-harry-potter-years-5-7,http://store.steampowered.com/app/204120
Sonic & All-Stars Racing Transformed,80,2013-01-31,http://www.metacritic.com/game/pc/sonic-all-stars-racing-transformed,http://store.steampowered.com/app/212480/
GRID 2,80,2013-05-27,http://www.metacritic.com/game/pc/grid-2,http://store.steampowered.com/app/44350
LEGO The Lord of the Rings,80,2012-11-27,http://www.metacritic.com/game/pc/lego-the-lord-of-the-rings,http://store.steampowered.com/app/213330
LEGO Lord of the Rings,80,2013-11-27,http://www.metacritic.com/game/pc/lego-the-lord-of-the-rings,http://store.steampowered.com/app/214510
Age of Wonders III,80,2014-03-31,http://www.metacritic.com/game/pc/age-of-wonders-iii,http://store.steampowered.com/app/226840
Trials Fusion,80,2014-04-16,http://www.metacritic.com/game/pc/trials-fusion,http://store.steampowered.com/app/245490
Dungeons & Dragons: Chronicles of Mystara,80,2013-01-18,http://www.metacritic.com/game/pc/dungeons-dragons-chronicles-of-mystara,http://store.steampowered.com/app/229480
Lego Harry Potter,79,2010-06-29,http://www.metacritic.com/game/pc/lego-harry-potter-years-1-4,http://store.steampowered.com/app/21130/
